Atom					pct

A					0.0706325207307
C					0.0191330506889
E					0.0597294095642
D					0.0514838830351
G					0.0698765509072
F					0.0424044516491
I					0.0492003865578
H					0.0245729160172
K					0.0549364050128
M					0.0252431573041
L					0.0938259866575
N					0.0385076999813
Q					0.0341511316167
P					0.0513280129684
S					0.0841152815013
R					0.0571653469668
U					0.0
T					0.0464960409003
W					0.0138100879107
V					0.0655823305692
Y					0.0294828231186
